IDText,Text,predicted_label
TXT0016,sesi saling tanya antar capres digunakan ganjar dan anies kompak untuk menyikat prabowo anies bertanya ke prabowo hubungannya etika pemimpin negara dengan pertahanan negara di sini anies bermaksud menyerang etika jokowi soal pencawapresan gibran juga terkait adanya kader gerindra yg menjadi rekanan kemhan mereka ialah glenny kairupan yudi magio yusuf prasetyo hadi angga raka prabowo komisaris dari pt tmi prabowo menjawab ãââœjangan menghasut dan menyesatkan rakyat demi ambisi pribadi begitu prof anies baswedan prabowo berpendapat anies tak layak bicara etika untuk ganjar prabowo menjelaskan kelayakan alutsista yg ia beli masih layak 15 tahun pakai ia membandingkan membeli alutsista baru selain nominalnya besar mengurus pembeliannya memakan waktu bertahuntahun menurut prabowo setelah dibeli baru bisa digunakan 3 tahun selanjutnya re mazzini_gsp,Pertahanan dan Keamanan
TXT0017,anak__ogi ganjarpranowo mohmahfudmd setuju jgn sampai pajak dinaikkan 23 bisa amblas keuangan generasi z dukung yg nyata saja ganjarmahfud lah pilihannya ganjarmahfud lah jawabannya   ganjarpresiden  ,Ekonomi
TXT0018,dengan ganjarmahfud kita bisa berharap peningkatan investasi riset dan inovasi industri unggulan akan menjadi kenyataan syngnyjim happy new year   l3bihbaik,Politik
TXT0019,kampanye politik anies dalam pilgub dki mempengaruhi dinamika masyarakat di mana generasi tua memendam kebencian yang sulit diperbaiki oleh generasi muda berdampak pada kohesi sosial antar kelompok usia dalam populasi,Sosial Budaya
TXT0020,anies mengatakan bansos berasal dari uang pajak rakyat bukan berasal dari pribadi seseorang untuk kepentingan masyarakat re kumparan,Politik
TXT0021,upaya pemberantasan korupsi anies ingin kembalikan kekuatan kpk lewat revisi uu tempovideo re tempodotco,Politik
TXT0022,ãââ ãâ taufikdamasãâ netizenganstaãââ qtãâ netizenganãâ kakekhalalãâ antikorupsi setya novanto sebut ganjar pranowo terima duit ektp us 500 ribuãâ gqpjrpvqw9ãâ ganjar mahfud hebat l3bihbaik   nelayanãâ sejahtera,Politik
TXT0023,capres cawapres ganjar pranowo dan mahfud md mari bersamasama kita buka jalan bagi nelayan yang terjebak kredit macet sebagai hasilnya mereka dapat melangkah menuju kebebasan finansial    jnk,Politik
TXT0024,   apalagi kita sebgai negara kepulauan bagian pasifik utara kita harus punya 3 selatan 2 bagian barat 3 dan timur 2 ngra di dua samudra colek pak ,Sumber Daya Alam
TXT0025,kehadiran sosokãâ capresãâ nomor urut tiga pada pemilu 2024 ganjar pranowo di tpi desa karanganyar kabupaten rembang membuat nelayan setempat bersuka cita mereka senang ketika mengetahuiãâ ganjar pranowoãâ membawa program unggulan berupa penghapusan kredit macet atau utang bagi para nelayan ganjar menyebutãâ utangãâ yang dimiliki nelayan tidak besar dan bisa untuk dibantu dilunaskan pemerintah pihaknya sudah menghitung jumlah kredit macet di sektor perikanan indonesia ganjar mengatakan jumlah kredit macet tidaklah banyak sekitar rp 190 miliar ganjarmahfud  sahabatganjar,Ekonomi
TXT0026,rt abah online meroket figur pak anies semakin populer di kalangan anak anak milenial dan anakanak genz gagasan dan gaya komunikasi pak anies tentu berhasil memikat anak anak muda terutama anak anak genz dan ini memberi warna baru dalam kancah berpoltikan re yurissa_samosir,Sosial Budaya
TXT0027,habis debat soal pesawat bekas prabowo teken kontrak msn   02melanjutkan,Pertahanan dan Keamanan
TXT0028,ganjar pranowo dan mahfud md pembela kesejahteraan rakyat ganjar mahfud hebat coblos3 3gm memimpin indonesia ,Politik
TXT0029,ganjar pranowo itu bukan cuma pemimpin yang mikirin kepentingan diri sendiri tapi juga kepentingan rakyat dan kebebasan berpendapat di masyarakat  jnk ,Ideologi
TXT0030,harus nya prabowo seperti ini duduk bersila diacara aksikamisan untuk menjawab dan  atau mengclearkan tuduhan atau isu penculikan dan pelanggaran ham yang dialamatkan kedia agar tidak ada lagi asumsi isu pelanggaran ham dan penculikan hanya muncul saat pilpres re catatan_ali7,Politik
TXT0031, weelehãâ² isue 5 tahunan yg trus dimunculkan cyber hti dkk era orba militer adlah alat yg dikedepankn demi stabilitas politik dri pemerintah yg otoriter adalah sngt tdk logis jika krusuhan yg bgitu masif hanya prabowo yg brtanggung jawab makanya tdk pernah ada pengadilannya,Pertahanan dan Keamanan
TXT0032,padahal tnp usung anies di dki gerindra jadi partai gurem emang ada curut2 geri dra yg layak jadi gubernur re resty_j_cayah,Politik
TXT0033,byangin aja orang lebih marah anies gagal mencapai target dp 0 dibanding jokowi gagal menepati janji tidak impor dan memperkuat kpk belum bahas janji yang lain ya gw hingga saat ini masih ga pernah dapet jwbn dari haters anies kenapa mereka tidak se kritia itu thdp janji owi,Politik
TXT0034,muhadklyacho soundofyogi yang bubarin fpi kan pemerintah pusat bukan anies gak kebayang kayak apa jakarta dengan anies sebagai gubernur kalau fpi belum dibubarkan dukung sih silakan aja tapi jangan denial kalau anies mendapatkan keuntungan dari ormas diskriminatif anies bukan manusia sempurna re redhatjkt,Politik
TXT0035,ibaratkan cak imin belimbing matang di pohon anies sindir gibran re oposisicerdas,Politik
TXT0036,prabowo menilai korupsi merusak kehidupan bangsa membahayakan keselamatan negara salah satu yang ia tawarkan adalah menaikkan gaji para pejabat re nu_online,Politik
TXT0037,pilihlah yang jauh dari radikalisme dan dekat dengan solusi pilih ganjar pranowo jnk   jnkganjar2024,Politik
TXT0038,yg sepakat untuk 2024 asal bukan prabowo silahkan retweet kita kabar kan seluruh nusantara bahwa indonesia tdk butuh capres penculikãââœ pelangar ham beratãââœ cawapres perusakãââœ demokrasi dan konstitusiãââœ cukup  re eddy_widodo_165,Politik
TXT0039,kompastv mantap korupsi akan dibabat sama pak anies,Politik
TXT0040,etika dan kepemimpinan itu di mulai dari lingkungan keluarga wowo menyindir pak anies dan pak anies tetap senyum dan tidak baper giliran balik di sindir oleh pak anies kata pendukung wowo debat malah nyerang personal memang lucu lihat kelakuan pendukung wowo ãâÿââãâÿââ re yurissa_samosir,Sosial Budaya
TXT0041,ini gambaran kalo kita kritik pemerintah nanti kritik pak prabowo sebagai menhan aja disebut kritik personal di replyannya ãâÿââ re hwztmf,Sosial Budaya
TXT0042,ãââµ ãâ ãâ goganjargo ganjar optimis capai pertumbuhan ekonomi 7 sahabatganjarãâ ãâ ganjar  generasigotongroyongãâ ganjar mahfud hebat l3bihbaik   perempuan maju,Ekonomi
TXT0043,ganjar pranowo yang sebelumnya pernah menjabat sebagai anggota dpr dan diusung oleh pdi perjuangan menunjukkan komitmen dan semangat tinggi dalam melayani masyarakat meskipun telah memiliki pengalaman legislatif ia terus berupaya untuk langsung berinteraksi dengan masyarakat meskipun menghadapi tantangan berat ganjar tetap gigih dan berkomitmen untuk memberikan kontribusi positif pdiperjuangan  ganjarpresiden  ganjarmahfud  ganjarsatset mahfudtastes re pdi_perjuangan,Politik
TXT0044,kawasan ekonomi khusus bakal jadi peluang besar buat investasi dukung ganjarmahfud lohgaloh happy new year   l3bihbaik,Ekonomi
TXT0045,keterbukaan dalam kebijakan pemerintahan adalah hak warga  02melanjutkan  prabowo gibran mempromosikan transparansi ini  02melanjutkan  ,Politik
TXT0046,program pasangan capres cawapres ganjar pranowo dan mahfud md solusi jitu buat dorong pertumbuhan ekonomi desa jnk ,Ekonomi
TXT0047,inisiatif ganjarmahfud memberikan harapan baru untuk pertumbuhan ekonomi yang berkeadilan memberdayakan umkm sebagai tulang punggung ekonomi kerakyatan blibibb happy new year   l3bihbaik,Ekonomi
TXT0048,ini adalah saat yang tepat untuk berinvestasi dalam masa depan indonesia bersama ganjarmahfud thoriq_gh happy new year   l3bihbaik,Politik
TXT0049,ãâÿâªâ ganjar mahfud hebat coblos3 3gm  betul pak bersihkan indonesia dari korupsi dengan pak ganjar dan mahfud semoga indonesia lebih maju lagi ganjar mahfud hebat 3gm coblos3,Politik
TXT0050,ãâÿââ masyarakat jakarta berharap pak ganjar pranowo dan mahfud md terus bersatu untuk membawa kemajuan dan kesejahteraan ganjar mahfud hebat l3bihbaik   sikat kkn,Politik
TXT0051,ainunnajib lebih tegang kali lg nembak pemerintah jokowi mulu ganjar malah kg mode cari aman mahfud hebat    l3bihbaik happy new year,Politik
TXT0052,partisipasi aktif warga negara adalah tonggak demokrasi yang sehat  02melanjutkan  prabowo gibran mendorong keterlibatan semua  02melanjutkan  ,Politik
TXT0053,pak soeyoto1 setahu saya restty_cayah tidak pernah menyatakan dukungan kpd aniez ataupun ganjar tapi dia pernah mengatakan drpd negeri ini diserahkan kpd mantan penjahat ham amp demokrasi anies amp ganjar adalah opsi terbaik yg bisa dipilih rakyat mohon koreksi jika salah ãâÿââ re abu_waras,Politik
TXT0054,algoritma instagram dorong popularitas kampanye anies konten reels tembus jutaan dalam sehari re oposisicerdas,Politik
TXT0055,pasangan duet capres cawapres ganjar pranowo dan prof mahfud md lagi fokus bikin regulasi hukum yang gak bikin investor mikir dua kali untuk masuk indonesiajn18a jnk  ,Politik
TXT0056,ganjar yakin bahwa dengan beasiswa kita dapat menciptakan generasi penerus yg unggul wahhabicc_jabar debatcapres   coblos74,Politik
TXT0057,kangdede78 lagi ngomongin jokowi ya di bantu jadi gubernur jkt lewat prabowo ya,Politik
TXT0058,dalam acara konsolidasi 45 hari menuju kemenangan ganjarmahfud 30122023 selaku cawapres 03 yakni mahfud md berkomitmen akn hadirkn 21 program unggulan demi terwujudnya kesejahteraan rakyat indonesia dan menariknya program yg dibw ganjarmahfud lebih membawa kemaslahatan re bungkustukang,Politik
TXT0059,kalo kata pak prabowo tidak perlu menjatuhkan agar terlihat lebih unggul pemiludamai  palingjelas 02 paling pas ãâ   02melanjutkan,Politik
TXT0060,j_zamhari naywul1 awkarin menjawab 1 bukan tidak terbukti tidak diadili dan tidak diungkap terbukti sudah ada putusan dkpdewan kehormatan perwira berisi pemecatan prabowo subianto dan dinyatakan bersalah atas pelanggaran ham setelah dipecat dan mau diadili beliau kabur ke jordania,Pertahanan dan Keamanan
TXT0061,diyonmandiri aku nangis bangettt di bagian ini janji yang udah direalisasikan oleh anies malah  oleh pj gubernur enggak tau tujuannya apa tapi yang menderita ya rakyat kecil re dayatpiliang,Politik
TXT0062,umur alutsista itu nggak sama dengan modernisasi yang bisa dilakukan prabowo miss his shot ada alasan kenapa f15 dan f16 bisa beroperasi 50 tahun hingga masa depan kenapa mereka bisa beroperasi selama itu ya karena emang ada supportnya dan ada program overhaul kalau kita namanya mlu midlife upgrade disitu dimana overhaul airframe itu ada entah untuk sekedar nambal atau ganti dengan mesin yang selalu bisa diswap bukan masalah besar terakhir prabowo juga gagal menyebubkan gimana transisi dari alutsista rusia menuju barat bisa memberikan kemudahan dan bahkan kesejahteraan kepada tni re kentlavis,Pertahanan dan Keamanan
TXT0063,pilpres 2024 pembuktian prabowo dan jokowi perhelatan pilpres 2024 menjadi sebuah pertaruhan dan pembuktian bagi prabowo dan jokowi bagi prabowo pilpres 2024 ini adalah kesempatan terbesarnya untuk menjadi presiden ri menggandeng gibran rakabuming prabowo pun mendapat dukungan penuh dari jokowi ya inilah kesempatan terbesar dan mungkin kesempatan terakhir prabowo bisa memenangkan pilpres lawan terbesar prabowo bukanlah anies baswedan maupun ganjar pranowo melainkan garis tangan prabowo berharap dengan menggandeng gibran dan didukung jokowi dia bisa menuliskan garis tangan barunya selain prabowo pilpres ini juga menjadi pembuktian jokowi ada yang sangat begitu meyakini jokowi akan menjadi kekuatan politik baru pasca berakhirnya masa berpolitik sesepuh politisi seperti megawati jusuf kalla surya paloh dan bahkan prabowo tentu kita tidak bisa melihat secara terangterangan jokowi mendukung prabowo namun yang pasti jokowi tidaklah mungkin tidak mendukung anaknya gibran yang adalah cawapres prabowo jokowi yang selama ini dinilai adalah sosok yang lebih besar dari pada pdi perjuangan dan megawati soekarnoputri akan menjadikan pilpres 2024 milestone politiknya sebuah titik untuk jokowi benarbenar akan menjadi kekuatan baru di kancah perpolitikan atau malah gagal dan menjadi gelandangan politik seperti amien rais usaha besarbesaran akan dilakukan untuk mencapai satusatunya kesempatan menang pilpres dengan kemenangan satu putaran karena kalau gagal satu putaran maka kemungkinan menang akan mengecil dan memberikan peluang lebih besar bagi lawan apalagi kalau lawannya adalah ganjar mahfud dalam beberapa waktu ke depan kita akan melihat situasisituasi yang tidak wajar yang tidak kredibel dan profesional dari penyelenggara pemilu dan bahkan ajaibnya bisa saja terjadi hal luar biasa di mahkamah konstitusi tapi sekuat apapun usaha yang dilakukan oleh prabowo dan jokowi saya percaya kalau garis tangan masih belum berpihak kepada prabowo maka kemenangan tidak akan pernah diraih saya cuma berharap nantinya saat keputusan tidak memberikan kemenangan kepada prabowo gibran tidak terjadi kerusuhan semoga kali ini prabowo bisa legowo dan belajar dari pilpres 2019 re paltiwest,Politik
TXT0064,ada hal yang janggal dari post ini 1 post nya berbau counter opini yg skrg lagi rame di papua 2 ini akun pemerintah ya sattt kok bisa bisanya dipake buat nyebokin capres 3 prabowo nya mana anjirrrr re setyoaji831,Sosial Budaya
TXT0065,hajatan demokrasi indonesia bulan depan karena demokrasi itu penting bro ayo kita pastikan kepentingan demokrasi dengan memilih ganjar pranowo   jnk,Politik
TXT0066,insentif pajak dari ganjarmahfud akan memicu lahirnya lebih banyak startup berkualitas usersky__ happy new year   l3bihbaik,Ekonomi
TXT0067,seseorang yang lupa usia berkata kalo korupsinya kecilãâ²an gak apaãâ² maka dibiarkanlah pungutan liar di sekolah upeti polisi di jalan pelicin di kantor pemerintah dan segala macam pungutan yang memotong hak orangãâ² kecil yang prabowo tak pernah merasakannya re yradianto,Politik
TXT0068,perubahan frontal dr segala penjuru nusantara untuk anies amin 1 siap melampiaskan pd sebagian besar petinggi negara dgn pembiarannya pelanggaran pemilu bahkan melawan amp melengserkan rezim perampas rempang wadas,Politik
TXT0069,menyoal etika itu bukan serangan personal dalam jabatan publik itu bagian dari integritas ketika situ serang luas tanah yang dikuasai prabowo 2019 itu juga bukan personal tapi bagian dari isu konflik kepentingan antara jabatan dan akses bisnis makanya jangan nepotis re dandhy_laksono,Politik
TXT0070,rt capres nomor urut 3 ganjar pranowo ingin membentuk lembaga coast guard atau penjaga pantailaut jika kelak memenangi pemilihan presiden pilpres 2024 menurut ganjar pembentukan coast guard ini untuk membereskan terjadinya tumpang tindih antar lembaga negara dalam menangani kelautan pdiperjuangan  ganjarpresiden    ganjarsatset mahfudtastes re pdi_perjuangan,Pertahanan dan Keamanan
TXT0071,pemberantasan korupsi bukan sekadar tuntutan tetapi komitmen  02melanjutkan  prabowo gibran bertindak dalam hal ini  02melanjutkan  ,Politik
TXT0072,herisapto86131 bebek_nkri_2 alextham878  lah tapi tetep aja itu koalisinya pdip ãâÿââ faktanya ppp belum pecah koalisi tuh mungkin sengaja bikin statement pindah dukungan supaya bisa bunuh jongos pdip yg disalahin prabowo pantes tolol rupanya kau orang jogja urus dulu tuh klitih ãâÿââ memang tempatnya kampungan,Politik
TXT0073,dulu prabowo ke mahasiswa 98 gitu juga gak ya ãââœkita butuh demokrasiãââ ãââœsini dek ketemu dulu saya buka datanyaãââ lalu hilang ãâÿââãâÿââãâÿââ re msmujab22,Politik
TXT0074,rt al fatihah buat alm lambang babar purnomo alumnus arkeologi ugm yang diduga dibunuh saat jadi saksi kasus pencurian dan pemalsuan arca museum radya pustaka yang melibatkan hashim  adik prabowo re ibnarief,Pertahanan dan Keamanan
TXT0075,emang keren dalam debat ketika ayahbowo adalahkita serang dia memilih jadi neagarawan dan tak menyerang balik teman diskusinya  dukungantulus untuk02 prabowo  re info_beragam,Politik
TXT0076,inspiratif pasangan capres cawapres ganjar pranowo mahfud md buka peluang bisnis lokal dengan kredit 35 untuk koprasi dan umkm sukses terus pengusaha kecil nct wish jnk  ,Ekonomi
TXT0077,katanya pak anies dipecat dari posisi mendikbud karena korupsi bener nggak sih ãâÿââ nah daripada bingung dan berasumsi liar mending simak dulu faktanyaãâÿââãâÿââ re ubahbareng,Politik
TXT0078,ganjarmahfud adalah pilihan yang tepat untuk mewujudkan kesejahteraan sektor pertanian dan perikanan aesyhqlh happy new year   l3bihbaik,Politik
TXT0079,ditanya soal etika prabowo bilang anies tak pantas bicara etik karena beri contoh yang tidak baik re kompastv,Politik
TXT0080,generasi_mudanu promosi ganjar terhadap akuntabilitas menciptakan pemerintahan yang transparan dan akurat,Politik
TXT0081,kemampuan diplomasi prabowo terlihat saat melakukan kerjasama dengan amerika serikat dalam menyuplai 24 jet tempur f15ex dan 24 helikopter tempur sikorsksy s70 black hawk   prabowogemoy prabowo subianto,Pertahanan dan Keamanan
TXT0082,garda samud3ra sebagai garda terdepan mencerminkan kesungguhan ganjar pranowo dalam menjaga keamanan dan stabilitas wilayah maritim    coblos3,Pertahanan dan Keamanan
TXT0083,kala anies curhat pernah dimarahi pemerintah pusat karena terapkan psbb saat covid19 saya dipanggil didatangi re tvonenews,Politik
TXT0084,kenapa sih mulutmanies enggak mau terima bahwa prabowo jeli belanja alutsista sutjiptorudy dukungantulus untuk02 penasaran kebebasan ptn top 10 menhan nyebokin nangisin goblok pt tmi,Pertahanan dan Keamanan
TXT0085,bu sri mulyani jadi sasaran kegagalan prabowo dalam mengelola anggaran pertahanan untung kita punya menteri keuangan sekeren smi dia tahu mana yang harus digunting karena gak beres mana yang harus diteruskan karena penting buat masa depan indonesia  re ekokuntadhi1,Pertahanan dan Keamanan
TXT0086,ganjarpranowo mohmahfudmd bersama pak ganjar dan pak mahfud insya allah mampu memutuskan rantai kemiskinan di indonesia lewat program2 unggulan merekaãâÿââœãâÿââãâÿââÿãâÿââ,Ekonomi
TXT0087,keinginan prabowo gibran adalah indonesia harus berdiri di kaki sendiri manfaatkan kekayaan bangsa untuk kesejahteraan rakyat bisa produksi barang2 kebutuhan sendiri sudah pada login re negativisme,Ideologi
TXT0088,_sirusaa prwakilan tokoh hindu tamil mengajukan pembangunan tmpat ibadah dri era pk jokowipk ahok dan di era pk anies akhirnya mrek pya tmpat ibadahdi mnit 1130 an bpk perwakilan hindu tamilbilang akhirnya mreka merasakan pancasila bhineka tunggal ika itu ada re sasukura0210,Sosial Budaya
TXT0089,uyokback debat politik itu adu argumen adu data klarifikasi depan publik contoh data seperti ini yang diminta jelaskan prabowo lupa tidak bisa jawab alasannya waktu sempit ãâÿââ mahfud jelaskan anggaran bukan rahasia negara debatcapres re zaeffendy,Politik
TXT0090,ganjar bagus dukung anggaran pertahanan 12 dari pdb tapi ya eksekusinya dengan senjata hiprrsonik dan senjata quantum terlalu jauh pak wkwkwkw ãâÿââ re gara_nam,Pertahanan dan Keamanan
TXT0091,arsipaja alhamdullilah mari kita dukung pak prabowo biar pejabat sejahtera gaji nya naik gpp rakyat sengsara pajak naik yg penting pejabat sejahtera dan gaji nya naik gaji puluhan juta atau ratusan juta beserta tunjungan itu kurang kalian rakyat biasa sorry yee sorry yeãââ¼ãââ re xandreanda,Politik
TXT0092,ganjarmahfud adalah pasangan yang berkomitmen untuk meningkatkan kesejahteraan semua lapisan masyarakat apayakak123 happy new year   l3bihbaik,Politik
TXT0093,mungkin ini alasan pandji ga setuju pak anies nyapres dia cm pengen pak anies jabat gubernur lagi 2 periode buat beresin ketidakadilan2 kyk gini skrg cm berharap pak anies menang pilpres dan bisa balikin hak warga kp bayam lagi ãâÿââºãâÿââ²ãâÿââ¼ re chanbobz,Politik
TXT0094,hasbil_lbs coba sebutkan kepada kami pelanggaran apa yang dilakukan oleh anies konstitusi aturan kpu hukum adat standar etika siapa yg kalian pakai ga bisa tidur nyalahin anies ãâÿââ anda cuma ga bisa menerima kenyataan kalo prabowo bad perform pada debat capres ãâÿââ,Politik
TXT0095,rakyat menuntut agar jokowi menegur 6 pemda yang melarang anies kampanye ingat ya pak presiden anies dan cak imin melaksanakan kampanye sesuai konstitusi dan uu yang berlaku   rakyat muak kpu dan jokowi curang terus re ,Politik
TXT0096,skenario riil yang tak terbayangkan bahkan tiga bulan lalu lima tahun dari sekarang anies bisa menjadi figur karismatik oposisi seperti megawati dulu di zaman orde baru re gegerriy,Politik
TXT0097,pasangan duet capres cawapres ganjar pranowo mahfud md inspirasi para pelaku umkm kredit 35 jadi langkah cerdas sukses terus temanteman bisnisjn18c1 jnk   re averiexx,Ekonomi
TXT0098,debat capres pertama ganjar tegaskan jaga demokrasi dan sikat korupsi bengis ganjar mahfud hebat coblos3 3gm memimpin indonesia ,Politik
TXT0099,namasayamelki  prabowo beda responnya saat bicaranya program selalu diapresiasi saat setelah debat ngomong ke wartawan jelas apa yang ada dihati diutarain ngomongin pertahanan di depan umum bahas anggaran segala yang saat di komisi i sangat berhati2 disampaikan terkait pertahanan negara,Pertahanan dan Keamanan
TXT0100,kemunduran demokrasi asalkan bukan prabowo aniesbaswedan ganjarpranowo,Politik
TXT0101,gua jadi inget ketika pm kanada ditegur sama xi jinping karena bocorin dialog xi jinping gasuka kalau terlalu oversharing beberapa hal yg penting memang gaboleh dibocorin andai pak prabowo ngasih tau hal ini mungkin banyak yg makin respect ke beliau re kirsteiniz,Sosial Budaya
TXT0102,prabowo ingin patahkan klaim ganjar sebagai penerus jokowi re oposisicerdas,Politik
TXT0103,rt prabowoãââ taking gaza as an example of ãââœyang lemah yang ditindasãââãââãââãââ he definitely dgafãââãââãââãââ re malameze,Politik
TXT0104,anis kesukaan amerika cs dengan alat demokrasi dan keadilan harga diri bangsa menoton ganjar membenahi sistem dan administrasi dan enak didengar untuk dongeng tidur mahfud hebat    l3bihbaik happy new year,Ideologi
TXT0105,detikcom ya anis dijanjiin kursi mentri lah wong dia itu anak prabowo,Politik
TXT0106,abah anies baswedan menanggapi soal pertemuan beliau dengan warga kampung bayam ikatan kita bukan sekedar ikatan sebagai gubernur tapi sebagai saudara sebangsa yang harus saling mengasihi ãâÿââãâÿââº  re aying_hendri,Sosial Budaya
TXT0107,rakyat melihat wajah uzur jendral yang lelah dan tekanan berat krn harus gendong bocil anak haram mk yg setiap debat jadi serangan yg tajam lawanya terutama anies menyoroti sikap etika prabowo terima bocil anak haramnya mk bastardo  ,Politik
TXT0108,salam kopi joni untuk prabowogibran dong guys prabowo gibran prabowogibran mendingprabowo  dekade08  debatcapres  pertahananri istorasenayan kpu kpuri debatketiga  jokowi re dekade_08,Pertahanan dan Keamanan
TXT0109,ganjar pranowo dan mahfud md menghadirkan solusi nyata untuk meningkatkan kesejahteraan petani nelayan dan peternak melalui kebijakan perdagangan yang mendukung produk dalam negeri diniinihh happy new year   l3bihbaik,Ekonomi
TXT0110,sebaiknya prabowo mundurlah tak ada prestasi sehingga terus memuji2 prestasi jokowi yang sebrbernya tidak ada prabowo gagal dari mana2 jendral pecatan food estate gagal kemenhan yg amburadul bahkan diduga ada korupsi jumbo utk biaya kampanye  re kiyang4343,Politik
TXT0111,anies presiden untuk tnipolri serta asn pertahanan 1 penyediaan rumah dinas 2 kenaikan gaji setiap tahun 3 kesejahteraan lainnya re sutanmangara,Politik
TXT0112,ini tweet gk nyuruh kalian vote anies cuma demand untuk jangan diskreditkan gagasan dia aja seakanakan heãââs got nothing to offer jangan biarin kebencian asumtif muncul lagi kalau masih ragu gausah pilih partai islam pas pemilihan legislatif demokrasi masih ada,Ideologi
TXT0113,noenoeneon  kan pak anies gencar jgn takut buat mengemukakan pendapat beliau sendiri selalu ngasih contoh sebenernya re kfukoshi,Ideologi
TXT0114,ãâÿââ ganjar mahfud hebat 3gm coblos3   akan memberantas kkn dan pungli demi kesejahteraan kaum buruh di indonesia mahfud2024 majalengka majalengka x26kjacglq bersih kuatkankpk mahfud md,Politik
TXT0115,saya sangat bangga bila seorang pemimpin bisa bersatu dengan semua partai koalisinya dan itu dilakukan oleh pak ganjar pranowo benarbenar sangat mengagumkan,Politik
TXT0116,cuitcuap_ masbowogbran pastinya paling ngerti gimana mebangun investasi patriotisme yg jadiin harapan masyarakat untuk memajukan indonesia ini  karenahati baikpakbowo prabowo ,Ideologi
